Year,Production,Imports,Total supply,Exports,Domestic use,Per capita use
 1980/81,4934.1,177.2,5111.3,697.4,4395.3,19.2
 1981/82,4442.2,149.7,4591.9,682.7,3894.8,16.85
 1982/83,4536.7,197.5,4734.2,629.7,4091.9,17.54
 1983/84,4620.5,233.5,4854.0,544.2,4300.3,18.27
 1984/85,4654.6,241.9,4896.5,528.3,4358.3,18.35
 1985/86,4221.7,314.6,4536.3,390.2,4136.2,17.26
 1986/87,4463.6,310.2,4773.8,445.7,4314.0,17.84
 1987/88,5610.1,262.8,5872.9,780.7,5081.9,20.83
 1988/89,5230.3,256.3,5486.6,602.5,4884.1,19.84
 1989/90,5822.3,228.0,6050.3,773.9,5276.3,21.22
 1990/91,5515.0,229.7,5744.7,818.0,4926.7,19.58
 1991/92,5447.0,303.0,5750.0,1132.0,4618.0,18.11
 1992/93,5767.0,259.4,6026.4,1082.2,4944.2,19.14
 1993/94,6124.6,238.9,6363.5,1390.6,4972.9,19.01
 1994/95 ,6368.8,286.9,6655.7,1526.7,5129.0,19.37
 1995/96,5840.2,383.4,6223.6,1217.2,5006.4,18.69
 1996/97 ,6206.9,373.3,6580.2,1518.3,5061.9,18.67
 1997/98   ,5814.5,356.4,6170.9,1209.1,4961.8,18.09
 1998/99 ,6412.5,344.2,6756.7,1487.8,5268.9,18.98
 1999/2000 ,5995.7,377.5,6373.2,1175.2,5198.1,18.5
 2000/01 ,6265.5,358.9,6624.4,1667.1,4957.3,17.46
 2001/02 ,5467.5,361.4,5828.9,1353.1,4475.8,15.61
 2002/03,5366.0,412.4,5778.4,1144.9,4633.5,16.0
 2003/04,5453.3,472.7,5926.0,986.3,4939.7,16.91
 2004/05 ,6619.0,262.8,6881.8,1339.0,5542.8,18.79
 2005/06 ,6096.9,348.8,6445.7,1488.4,4957.3,16.66
 2006/07  ,6308.5,427.9,6736.4,1407.3,5329.1,17.73
 2007/08  ,6077.3,381.2,6458.5,1484.1,4974.4,16.39
 2008/09  ,6265.9,363.8,6629.7,1767.6,4862.1,15.88
 2009/10  ,6296.4,401.8,6698.2,1695.9,5002.3,16.2
 2010/11 ,6248.8,328.7,6577.5,1823.1,4754.3,15.31
 2011/12  ,6312.9,381.1,6694.0,1854.9,4839.0,15.47
 2012/13,6594.9,430.2,7025.1,1969.2,5055.9,16.05
 2013/14  ,6918.7,470.0,7388.7,1858.6,5530.1,17.43
 2014/15  ,7909.0,360.1,8269.1,2286.2,5983.0,18.71
 2015/16  ,6928.1,414.6,7342.7,1715.2,5627.5,17.48
 2016/17  ,7745.1,377.1,8122.2,1912.5,6209.6,19.15
 2017/18  ,7815.8,296.1,8111.9,2220.7,5891.3,18.06
 2018/19  ,6865.1,322.7,7187.8,1636.4,5551.4,16.91
