Year,Production,Imports,Total supply,Exports,Domestic use,Per capita use
1980,4.6,4733.4,4738.0,8.2,4729.8,20.77
1981,6.0,4941.6,4947.6,7.0,4940.6,21.48
1982,5.8,5233.8,5239.6,6.0,5233.6,22.54
1983,4.5,4976.6,4981.1,1.0,4980.1,21.25
1984,8.9,5235.3,5244.2,1.9,5242.3,22.18
1985,8.2,5593.4,5601.6,2.0,5599.6,23.48
1986,9.7,6207.5,6217.2,2.8,6214.4,25.82
1987,11.4,6069.2,6080.6,6.2,6074.4,25.02
1988,13.2,5938.5,5951.7,0.7,5951.0,24.29
1989,11.9,6101.8,6113.7,1.1,6112.6,24.71
1990,11.3,6077.7,6089.0,0.0,6089.0,24.36
1991,11.4,6333.8,6345.2,0.0,6345.2,25.05
1992,12.0,6949.7,6961.7,0.0,6961.7,27.12
1993,11.7,6906.1,6917.8,0.0,6917.8,26.6
1994,13.7,7299.0,7312.7,0.0,7312.7,27.78
1995,13.0,7200.8,7213.8,0.0,7213.8,27.08
1996,13.0,7425.7,7438.7,0.0,7438.7,27.6
1997,13.7,7394.0,7407.7,0.0,7407.7,27.16
1998,21.0,7709.1,7730.1,0.0,7730.1,28.01
1999,24.5,8545.8,8570.3,0.0,8570.3,30.7
2000,29.0,8003.8,8032.8,0.0,8032.8,28.45
2001,28.0,7570.1,7598.1,0.0,7598.1,26.63
2002,20.0,7694.5,7714.5,0.0,7714.5,26.78
2003,22.5,7589.2,7611.7,0.0,7611.7,26.17
2004,16.5,7549.1,7565.6,0.0,7565.6,25.78
2005,20.9,7437.0,7457.9,0.0,7457.9,25.18
2006,22.0,7484.6,7506.6,0.0,7506.6,25.11
2007,25.6,7811.6,7837.2,0.0,7837.2,25.95
2008,17.4,7613.4,7630.8,0.0,7630.8,25.04
2009,18.5,6748.4,6766.9,0.0,6766.9,22.01
2010,17.8,7915.9,7933.7,0.0,7933.7,25.61
2011,17.4,7952.5,7969.9,0.0,7969.9,25.54
2012 2,,8481.6,8481.6,29.6,8452.0,26.9
2013,14.5,8871.9,8886.4,32.5,8853.9,27.99
2014,12.0,8900.0,8912.0,35.6,8876.4,27.86
2015,9.1,8992.2,9001.2,38.8,8962.4,27.92
2016,5.6,8902.3,8907.9,39.7,8868.2,27.43
2017,6.6,9335.3,9341.9,39.3,9302.6,28.59
2018,,9278.4,9278.4,39.7,9238.7,28.22
